batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
Australia,India,Sydney,66,72,9,8.25,35.0,171
Australia,India,Sydney,142,28,7,9.26086956521739,54.0,197
Pakistan,Bangladesh,St Lucia,107,44,10,8.447368421052632,50.0,172
Sri Lanka,New Zealand,Nottingham,52,81,8,8.0,42.0,158
Pakistan,Bangladesh,St Lucia,71,66,10,7.888888888888889,36.0,172
England,South Africa,Nottingham,20,94,8,4.615384615384615,20.0,111
West Indies,Australia,St Lucia,52,73,7,6.638297872340425,28.0,105
Sri Lanka,Bangladesh,Colombo,62,88,9,11.625,55.0,214
Sri Lanka,India,Mumbai,111,17,4,6.466019417475728,32.0,135
New Zealand,Australia,Wellington,52,58,7,5.032258064516129,33.0,118
Sri Lanka,Pakistan,Lahore,64,84,10,10.666666666666666,54.0,165
Sri Lanka,Bangladesh,Colombo,205,2,5,10.423728813559322,55.0,214
New Zealand,South Africa,Johannesburg,81,40,5,6.075,19.0,129
England,South Africa,Nottingham,48,59,7,4.721311475409836,23.0,111
India,South Africa,Cape Town,30,102,9,10.0,30.0,172
New Zealand,India,Auckland,109,38,6,7.975609756097561,54.0,158
England,Pakistan,London,168,9,5,9.08108108108108,38.0,185
South Africa,New Zealand,Auckland,164,14,6,9.283018867924529,51.0,185
Australia,New Zealand,Sydney,103,33,7,7.103448275862069,39.0,150
England,Australia,Melbourne,95,33,4,6.551724137931035,26.0,130
India,England,Cardiff,82,42,6,6.3076923076923075,41.0,148
West Indies,Australia,Colombo,187,4,7,9.672413793103448,63.0,205
Pakistan,Bangladesh,St Lucia,100,50,10,8.571428571428571,50.0,172
Australia,South Africa,Johannesburg,57,75,8,7.6,44.0,166
Australia,England,Sydney,50,77,9,6.976744186046512,43.0,195
New Zealand,Sri Lanka,Lauderhill,42,74,8,5.478260869565218,28.0,120
New Zealand,Pakistan,Dubai,61,55,7,5.630769230769231,18.0,144
South Africa,Pakistan,Johannesburg,3,110,10,1.8,3.0,188
India,Australia,Adelaide,0,119,10,0.0,0.0,188
Australia,West Indies,London,35,82,7,5.526315789473684,32.0,169
New Zealand,England,Hamilton,93,57,9,8.857142857142858,40.0,192
New Zealand,Sri Lanka,Lauderhill,39,65,5,4.254545454545455,30.0,81
England,India,Manchester,102,45,8,8.16,41.0,159
South Africa,Australia,Cape Town,168,5,7,8.765217391304347,48.0,178
South Africa,Australia,Johannesburg,143,29,6,9.428571428571429,49.0,204
Australia,South Africa,Cape Town,137,33,8,9.448275862068966,31.0,193
Pakistan,New Zealand,Wellington,99,4,1,5.120689655172414,43.0,105
New Zealand,Pakistan,Barbados,35,93,9,7.777777777777778,34.0,133
South Africa,West Indies,Nagpur,36,88,7,6.75,34.0,122
South Africa,New Zealand,Chittagong,82,44,7,6.473684210526316,34.0,170
Pakistan,Australia,Dubai,65,65,9,7.090909090909091,30.0,147
India,Sri Lanka,Mirpur,105,28,8,6.8478260869565215,41.0,130
New Zealand,Australia,Auckland,27,106,10,11.571428571428571,27.0,150
West Indies,Pakistan,Abu Dhabi,91,15,5,5.2,25.0,103
South Africa,Pakistan,Dubai,5,115,10,6.0,5.0,150
South Africa,Australia,Colombo,66,57,6,6.285714285714286,33.0,146
Pakistan,England,Cardiff,110,43,8,8.571428571428571,57.0,173
West Indies,Sri Lanka,Pallekele,14,96,10,3.5,14.0,129
South Africa,England,Centurion,179,36,9,12.785714285714286,63.0,241
England,Pakistan,Manchester,106,51,8,9.217391304347826,68.0,131
Australia,England,Barbados,137,7,5,7.274336283185841,52.0,147
New Zealand,Pakistan,Barbados,85,41,6,6.455696202531645,30.0,133
New Zealand,Sri Lanka,Wellington,142,20,5,8.52,34.0,162
Sri Lanka,West Indies,Mirpur,87,42,7,6.6923076923076925,33.0,160
New Zealand,Sri Lanka,Auckland,55,61,6,5.593220338983051,26.0,179
Sri Lanka,Pakistan,Colombo,62,66,7,6.888888888888889,30.0,172
New Zealand,Australia,Christchurch,43,94,9,9.923076923076923,43.0,214
Australia,Sri Lanka,Sydney,64,54,7,5.818181818181818,33.0,137
New Zealand,Pakistan,Hamilton,2,113,9,1.7142857142857142,2.0,185
England,India,London,3,112,10,2.25,3.0,153
West Indies,Australia,Sydney,87,34,4,6.069767441860465,32.0,138
